날짜,시도,측정소명,측정소코드,아황산가스,일산화탄소,오존,이산화질소,PM10,PM2.5
2016-08-05 03,서울 강남구 ,강남구,111261,0.004,0.4,0.006,0.024,28,22
2016-08-05 04,서울 강남구 ,강남구,111261,0.004,0.4,0.002,0.027,35,20
2016-08-05 05,서울 강남구 ,강남구,111261,0.004,0.4,0.002,0.026,31,20
2016-08-05 06,서울 강남구 ,강남구,111261,0.004,0.4,0.002,0.025,34,18
2016-08-05 07,서울 강남구 ,강남구,111261,0.004,0.3,0.004,0.023,32,20
2016-08-05 08,서울 강남구 ,강남구,111261,0.004,0.4,0.004,0.027,32,21
2016-08-05 09,서울 강남구 ,강남구,111261,0.004,0.5,0.006,0.034,37,19
2016-08-05 10,서울 강남구 ,강남구,111261,0.004,0.5,0.013,0.039,42,24
2016-08-05 11,서울 강남구 ,강남구,111261,0.004,0.4,0.037,0.034,43,32
2016-08-05 12,서울 강남구 ,강남구,111261,0.004,0.5,0.051,0.036,51,37
2016-08-05 13,서울 강남구 ,강남구,111261,0.004,0.5,0.064,0.037,35,24
2016-08-05 14,서울 강남구 ,강남구,111261,0.004,0.4,0.085,0.026,36,29
2016-08-05 15,서울 강남구 ,강남구,111261,0.004,0.4,0.088,0.029,29,22
2016-08-05 16,서울 강남구 ,강남구,111261,0.004,0.4,0.101,0.029,47,38
2016-08-05 17,서울 강남구 ,강남구,111261,0.003,0.4,0.104,0.032,41,30
2016-08-05 18,서울 강남구 ,강남구,111261,0.004,0.4,0.078,0.038,42,31
2016-08-05 19,서울 강남구 ,강남구,111261,0.004,0.4,0.066,0.038,45,33
2016-08-05 20,서울 강남구 ,강남구,111261,0.004,0.4,0.05,0.036,35,22
2016-08-05 21,서울 강남구 ,강남구,111261,0.004,0.6,0.034,0.063,63,24
2016-08-05 22,서울 강남구 ,강남구,111261,0.004,0.6,0.018,0.061,0,0
2016-08-05 23,서울 강남구 ,강남구,111261,0.005,0.5,0.013,0.045,68,52
2016-08-05 24,서울 강남구 ,강남구,111261,0.004,0.5,0.009,0.048,75,48
2016-08-06 01,서울 강남구 ,강남구,111261,0.004,0.5,0.006,0.049,57,42
2016-08-06 02,서울 강남구 ,강남구,111261,0.005,0.6,0.002,0.05,32,18
2016-08-06 03,서울 강남구 ,강남구,111261,0.005,0.6,0.002,0.045,47,30
2016-08-06 04,서울 강남구 ,강남구,111261,0.004,0.6,0.002,0.041,53,34
2016-08-06 05,서울 강남구 ,강남구,111261,0.003,0.5,0.003,0.035,53,33
2016-08-06 06,서울 강남구 ,강남구,111261,0.004,0.4,0.004,0.033,39,32
2016-08-06 07,서울 강남구 ,강남구,111261,0.004,0.4,0.007,0.025,37,26
2016-08-06 08,서울 강남구 ,강남구,111261,0.004,0.4,0.005,0.03,39,22
2016-08-06 09,서울 강남구 ,강남구,111261,0.004,0.5,0.007,0.038,42,30
2016-08-06 10,서울 강남구 ,강남구,111261,0.004,0.5,0.032,0.038,60,37
2016-08-06 11,서울 강남구 ,강남구,111261,0.004,0.5,0.055,0.036,67,49
2016-08-06 12,서울 강남구 ,강남구,111261,0.004,0.4,0.088,0.031,85,51
2016-08-06 13,서울 강남구 ,강남구,111261,0.004,0.5,0.105,0.025,64,49
2016-08-06 14,서울 강남구 ,강남구,111261,0.004,0.4,0.123,0.022,56,41
2016-08-06 15,서울 강남구 ,강남구,111261,0.005,0.5,0.145,0.032,113,71
2016-08-06 16,서울 강남구 ,강남구,111261,0.004,0.5,0.145,0.022,117,78
2016-08-06 17,서울 강남구 ,강남구,111261,0.005,0.4,0.11,0.021,87,52
2016-08-06 18,서울 강남구 ,강남구,111261,0.005,0.4,0.093,0.026,93,48
2016-08-06 19,서울 강남구 ,강남구,111261,0.004,0.5,0.086,0.037,85,59
2016-08-06 20,서울 강남구 ,강남구,111261,0.004,0.4,0.071,0.025,72,60
2016-08-06 21,서울 강남구 ,강남구,111261,0.004,0.4,0.038,0.028,66,59
2016-08-06 22,서울 강남구 ,강남구,111261,0.004,0.4,0.029,0.027,71,49
2016-08-06 23,서울 강남구 ,강남구,111261,0.004,0.5,0.027,0.029,95,46
